record,phase,start,end,est,ref,abs_err,err,sqa_ok,iscore,sqa_tier,sqa_stage,config
x001,Rest,544.25390625,576.25390625,11.25,20.281805311588208,9.031805311588208,-9.031805311588208,True,0.9764199319346841,diag,3,psd 10-45
x001,Rest,576.25390625,608.25390625,11.25,21.37188027213328,10.121880272133279,-10.121880272133279,True,0.973925473253935,diag,3,psd 10-45
x001,Rest,608.25390625,640.25390625,13.125,24.042382757397398,10.917382757397398,-10.917382757397398,True,0.9690103816696238,diag,3,psd 10-45
x001,Rest,640.25390625,672.25390625,15.0,25.65624610682172,10.656246106821719,-10.656246106821719,True,0.9802983667542792,diag,3,psd 10-45
x001,Rest,672.25390625,704.25390625,26.25,22.979947816886636,3.270052183113364,3.270052183113364,True,0.9814209407479066,diag,3,psd 10-45
x001,Rest,704.25390625,736.25390625,20.625,26.702040155844138,6.077040155844138,-6.077040155844138,True,0.9845041111824557,diag,3,psd 10-45
x001,Walking,736.25390625,768.25390625,28.125,28.46853099228086,0.34353099228086137,-0.34353099228086137,True,0.9677418765830538,diag,3,psd 10-45
x001,Walking,768.25390625,800.25390625,18.75,30.167462339345782,11.417462339345782,-11.417462339345782,True,0.9691756686524522,diag,3,psd 10-45
x001,Walking,800.25390625,832.25390625,15.0,30.270070727262322,15.270070727262322,-15.270070727262322,True,0.9671937524838177,diag,3,psd 10-45
x001,Walking,832.25390625,864.25390625,24.375,27.29564305091906,2.920643050919061,-2.920643050919061,True,0.965460055751541,diag,3,psd 10-45
x001,Walking,864.25390625,896.25390625,28.125,28.576879657722245,0.4518796577222446,-0.4518796577222446,True,0.9707810638976748,diag,3,psd 10-45
x001,Walking,896.25390625,928.25390625,30.0,28.43988722175437,1.5601127782456317,1.5601127782456317,True,0.9712970358433588,diag,3,psd 10-45
x001,Walking,928.25390625,960.25390625,28.125,29.63099921345013,1.5059992134501314,-1.5059992134501314,True,0.974276454889142,diag,3,psd 10-45
x001,Walking,960.25390625,992.25390625,28.125,28.05966170793682,0.06533829206318131,0.06533829206318131,True,0.9715225837460771,diag,3,psd 10-45
x001,Walking,992.25390625,1024.25390625,28.125,26.999980749955526,1.125019250044474,1.125019250044474,True,0.9706817581304792,diag,3,psd 10-45
x001,Walking,1024.25390625,1056.25390625,11.25,26.230182884941474,14.980182884941474,-14.980182884941474,True,0.9791028628189337,diag,3,psd 10-45
x001,Walking,1056.25390625,1088.25390625,26.25,25.900477812733122,0.3495221872668779,0.3495221872668779,True,0.9849445427469997,diag,3,psd 10-45
x001,Walking,1088.25390625,1120.25390625,22.5,24.32393005781884,1.8239300578188384,-1.8239300578188384,True,0.9873195263138063,diag,3,psd 10-45
x001,Walking,1120.25390625,1152.25390625,13.125,22.161981402491996,9.036981402491996,-9.036981402491996,True,0.9815013426755961,diag,3,psd 10-45
x001,Walking,1152.25390625,1184.25390625,22.5,23.147902271486387,0.6479022714863873,-0.6479022714863873,True,0.9866076160440171,diag,3,psd 10-45
x001,Walking,1184.25390625,1216.25390625,11.25,19.183855003525917,7.933855003525917,-7.933855003525917,True,0.9850229888088371,diag,3,psd 10-45
x001,Walking,1216.25390625,1248.25390625,20.625,25.767437475288016,5.142437475288016,-5.142437475288016,True,0.9734261230093509,diag,3,psd 10-45
x001,Walking,1248.25390625,1280.25390625,11.25,24.80396199009497,13.553961990094969,-13.553961990094969,True,0.9836236642378058,diag,3,psd 10-45
x001,Walking,1280.25390625,1312.25390625,22.5,22.432049500185386,0.06795049981461432,0.06795049981461432,True,0.9861428542205931,diag,3,psd 10-45
x001,Walking,1312.25390625,1344.25390625,11.25,20.698938633472267,9.448938633472267,-9.448938633472267,True,0.985027568374179,diag,3,psd 10-45
x001,Walking,1344.25390625,1376.25390625,26.25,17.781290885813792,8.468709114186208,8.468709114186208,True,0.9822529865062959,diag,3,psd 10-45
x001,Walking,1376.25390625,1408.25390625,16.875,17.011234604428235,0.13623460442823543,-0.13623460442823543,True,0.9800838155026691,diag,3,psd 10-45
x001,2-Back,1408.25390625,1440.25390625,26.25,20.284364068048237,5.965635931951763,5.965635931951763,True,0.9780603947733439,diag,3,psd 10-45
x001,2-Back,1440.25390625,1472.25390625,22.5,21.91458280517715,0.585417194822849,0.585417194822849,True,0.982962802658648,diag,3,psd 10-45
x001,2-Back,1472.25390625,1504.25390625,18.75,23.55964462462307,4.809644624623068,-4.809644624623068,True,0.9852472162499418,diag,3,psd 10-45
x001,2-Back,1504.25390625,1536.25390625,18.75,20.511522467382157,1.7615224673821572,-1.7615224673821572,True,0.9847246012025925,diag,3,psd 10-45
x001,2-Back,1536.25390625,1568.25390625,20.625,20.77835872125395,0.15335872125395156,-0.15335872125395156,True,0.9892160473258667,diag,3,psd 10-45
x001,2-Back,1568.25390625,1600.25390625,20.625,20.124973128762523,0.5000268712374769,0.5000268712374769,True,0.9840422417386409,diag,3,psd 10-45
x001,2-Back,1600.25390625,1632.25390625,15.0,21.832536713668443,6.832536713668443,-6.832536713668443,True,0.9877209450617833,diag,3,psd 10-45
x001,2-Back,1632.25390625,1664.25390625,20.625,20.41451994441537,0.2104800555846289,0.2104800555846289,True,0.987693955803332,diag,3,psd 10-45
x001,2-Back,1664.25390625,1696.25390625,18.75,19.599508557700624,0.8495085577006236,-0.8495085577006236,True,0.9863291766313015,diag,3,psd 10-45
x001,2-Back,1696.25390625,1728.25390625,20.625,19.49714698897305,1.12785301102695,1.12785301102695,True,0.9892928856818612,diag,3,psd 10-45
x001,2-Back,1728.25390625,1760.25390625,13.125,21.678872036937857,8.553872036937857,-8.553872036937857,True,0.9786725810730555,diag,3,psd 10-45
x001,2-Back,1760.25390625,1792.25390625,11.25,20.403430865990643,9.153430865990643,-9.153430865990643,True,0.9834230426163071,diag,3,psd 10-45
x001,2-Back,1792.25390625,1824.25390625,11.25,21.846308060596293,10.596308060596293,-10.596308060596293,True,0.9825117228516644,diag,3,psd 10-45
x001,2-Back,1824.25390625,1856.25390625,15.0,23.321081359271837,8.321081359271837,-8.321081359271837,True,0.9795723654002377,diag,3,psd 10-45
x001,2-Back,1856.25390625,1888.25390625,15.0,22.463282556857408,7.463282556857408,-7.463282556857408,True,0.9723477740576197,diag,3,psd 10-45
x001,Running,1888.25390625,1920.25390625,24.375,24.863523931248658,0.48852393124865756,-0.48852393124865756,True,0.9750078903997633,diag,3,psd 10-45
x001,Running,1920.25390625,1952.25390625,28.125,26.65333543142314,1.471664568576859,1.471664568576859,True,0.9765641090235458,diag,3,psd 10-45
x001,Running,1952.25390625,1984.25390625,30.0,28.585204959530483,1.4147950404695173,1.4147950404695173,True,0.9772483956020691,diag,3,psd 10-45
x001,Running,1984.25390625,2016.25390625,30.0,29.909253897535073,0.09074610246492654,0.09074610246492654,True,0.9767199757308693,diag,3,psd 10-45
x001,Running,2016.25390625,2048.25390625,31.875,29.525523493863055,2.349476506136945,2.349476506136945,True,0.9807869229517289,diag,3,psd 10-45
x001,Running,2048.25390625,2080.25390625,28.125,29.977320876336755,1.852320876336755,-1.852320876336755,True,0.9776853255204709,diag,3,psd 10-45
x001,Running,2080.25390625,2112.25390625,31.875,30.585191092545735,1.2898089074542654,1.2898089074542654,True,0.9794659591720566,diag,3,psd 10-45
x001,Running,2112.25390625,2144.25390625,31.875,32.30672620896162,0.4317262089616207,-0.4317262089616207,True,0.9772181083942689,diag,3,psd 10-45
x001,Running,2144.25390625,2176.25390625,31.875,32.036931731013325,0.16193173101332548,-0.16193173101332548,True,0.9798056438473509,diag,3,psd 10-45
x001,Running,2176.25390625,2208.25390625,28.125,29.20191210590138,1.0769121059013784,-1.0769121059013784,True,0.9846683633819995,diag,3,psd 10-45
x001,Running,2208.25390625,2240.25390625,31.875,27.090572858555845,4.784427141444155,4.784427141444155,True,0.9824342128270593,diag,3,psd 10-45
x002,Rest,64.30859375,96.30859375,15.0,22.534082174118986,7.534082174118986,-7.534082174118986,True,0.9654668366399598,diag,3,psd 10-45
x002,Rest,96.30859375,128.30859375,26.25,25.154461296336848,1.095538703663152,1.095538703663152,True,0.9746307741732395,diag,3,psd 10-45
x002,Rest,128.30859375,160.30859375,24.375,25.15625404319277,0.7812540431927708,-0.7812540431927708,True,0.980790038997661,diag,3,psd 10-45
x002,Rest,160.30859375,192.30859375,22.5,25.37592660261296,2.87592660261296,-2.87592660261296,True,0.980868292095268,diag,3,psd 10-45
x002,Rest,192.30859375,224.30859375,26.25,22.873364787579185,3.3766352124208154,3.3766352124208154,True,0.986124422751233,diag,3,psd 10-45
x002,Rest,224.30859375,256.30859375,26.25,26.93787781615349,0.6878778161534918,-0.6878778161534918,True,0.9834446908896282,diag,3,psd 10-45
x002,Rest,256.30859375,288.30859375,24.375,22.810149515305632,1.564850484694368,1.564850484694368,True,0.9784436708708169,diag,3,psd 10-45
x002,Rest,288.30859375,320.30859375,26.25,24.31412237963578,1.93587762036422,1.93587762036422,True,0.9740716648958208,diag,3,psd 10-45
x002,Rest,320.30859375,352.30859375,13.125,24.68694340499541,11.56194340499541,-11.56194340499541,True,0.9779797415458978,diag,3,psd 10-45
x002,Rest,352.30859375,384.30859375,11.25,29.325450641107054,18.075450641107054,-18.075450641107054,True,0.9553424247166671,diag,3,psd 10-45
x002,Rest,384.30859375,416.30859375,11.25,31.485197150942014,20.235197150942014,-20.235197150942014,True,0.9577103249992774,diag,3,psd 10-45
x002,Rest,416.30859375,448.30859375,18.75,27.84295453373688,9.09295453373688,-9.09295453373688,True,0.9201418891537365,diag,3,psd 10-45
x002,Walking,448.30859375,480.30859375,39.375,36.52560276446971,2.84939723553029,2.84939723553029,True,0.7800971983941061,hr,3,psd 10-45
x002,Walking,480.30859375,512.30859375,28.125,32.81909154016766,4.694091540167662,-4.694091540167662,True,0.7261290183284076,hr,3,psd 10-45
x002,Walking,512.30859375,544.30859375,45.0,33.28185504103016,11.718144958969837,11.718144958969837,True,0.718904150507602,hr,3,psd 10-45
x002,Walking,544.30859375,576.30859375,26.25,32.374957854018184,6.124957854018184,-6.124957854018184,True,0.6935512963053432,hr,3,psd 10-45
x002,Walking,576.30859375,608.30859375,39.375,34.59035401695896,4.784645983041038,4.784645983041038,True,0.7085191776151203,hr,3,psd 10-45
x002,Walking,608.30859375,640.30859375,28.125,29.785912369339112,1.660912369339112,-1.660912369339112,True,0.6092759746154942,hr,3,psd 10-45
x002,Walking,640.30859375,672.30859375,28.125,28.561579369923347,0.4365793699233471,-0.4365793699233471,True,0.6177705600003907,hr,3,psd 10-45
x002,Walking,672.30859375,704.30859375,11.25,33.18718472970777,21.937184729707766,-21.937184729707766,True,0.637653439394601,hr,3,psd 10-45
x002,Walking,704.30859375,736.30859375,30.0,32.12991594420761,2.1299159442076103,-2.1299159442076103,True,0.6856221798566184,hr,3,psd 10-45
x002,Walking,736.30859375,768.30859375,31.875,33.088752692709335,1.2137526927093347,-1.2137526927093347,True,0.9487462241105333,diag,3,psd 10-45
x002,Walking,768.30859375,800.30859375,13.125,35.03320539581678,21.90820539581678,-21.90820539581678,True,0.9615362993077934,diag,3,psd 10-45
x002,Walking,800.30859375,832.30859375,15.0,27.565253343366948,12.565253343366948,-12.565253343366948,True,0.9351163645569227,diag,3,psd 10-45
x002,Walking,832.30859375,864.30859375,13.125,35.2684504803778,22.1434504803778,-22.1434504803778,True,0.9519711576369938,diag,3,psd 10-45
x002,Walking,864.30859375,896.30859375,24.375,26.041196858190077,1.6661968581900766,-1.6661968581900766,True,0.9778263745474988,diag,3,psd 10-45
x002,Walking,896.30859375,928.30859375,30.0,29.808132656762623,0.19186734323737653,0.19186734323737653,True,0.9760091054693614,diag,3,psd 10-45
x002,Walking,928.30859375,960.30859375,31.875,26.498763821200605,5.376236178799395,5.376236178799395,True,0.97123358204558,diag,3,psd 10-45
x002,Walking,960.30859375,992.30859375,30.0,32.816250929239985,2.8162509292399847,-2.8162509292399847,True,0.9656554626152751,diag,3,psd 10-45
x002,2-Back,992.30859375,1024.30859375,28.125,27.880610393104064,0.24438960689593614,0.24438960689593614,True,0.9640667709298654,diag,3,psd 10-45
x002,2-Back,1024.30859375,1056.30859375,28.125,28.34018198702374,0.21518198702374036,-0.21518198702374036,True,0.9729605432441227,diag,3,psd 10-45
x002,2-Back,1056.30859375,1088.30859375,30.0,29.999055863345433,0.0009441366545672736,0.0009441366545672736,True,0.9746107287856249,diag,3,psd 10-45
x002,2-Back,1088.30859375,1120.30859375,30.0,29.406679069891737,0.5933209301082627,0.5933209301082627,True,0.9733763082754772,diag,3,psd 10-45
x002,2-Back,1120.30859375,1152.30859375,22.5,28.87540485509122,6.375404855091219,-6.375404855091219,True,0.9760747516086389,diag,3,psd 10-45
x002,2-Back,1152.30859375,1184.30859375,30.0,30.0615549589134,0.061554958913401236,-0.061554958913401236,True,0.978921936180335,diag,3,psd 10-45
x002,2-Back,1184.30859375,1216.30859375,30.0,31.216484528375773,1.2164845283757728,-1.2164845283757728,True,0.9716889934735855,diag,3,psd 10-45
x002,2-Back,1216.30859375,1248.30859375,26.25,25.096565438684166,1.1534345613158337,1.1534345613158337,True,0.9674761716182257,diag,3,psd 10-45
x002,2-Back,1248.30859375,1280.30859375,11.25,26.843697782524327,15.593697782524327,-15.593697782524327,True,0.983980446014105,diag,3,psd 10-45
x002,2-Back,1280.30859375,1312.30859375,28.125,28.22874529733111,0.10374529733110904,-0.10374529733110904,True,0.9778937971018036,diag,3,psd 10-45
x002,2-Back,1312.30859375,1344.30859375,13.125,30.37021918950361,17.24521918950361,-17.24521918950361,True,0.9240029458535577,diag,3,psd 10-45
x002,2-Back,1344.30859375,1376.30859375,31.875,20.561597155447416,11.313402844552584,11.313402844552584,True,0.966607902239205,diag,3,psd 10-45
x002,2-Back,1376.30859375,1408.30859375,13.125,23.808646938491048,10.683646938491048,-10.683646938491048,True,0.9453333702433225,diag,3,psd 10-45
x002,2-Back,1408.30859375,1440.30859375,20.625,14.628965373949178,5.996034626050822,5.996034626050822,True,0.9512966242288979,diag,3,psd 10-45
x002,2-Back,1440.30859375,1472.30859375,16.875,13.906712200074915,2.9682877999250845,2.9682877999250845,True,0.9600682126826082,diag,3,psd 10-45
x002,2-Back,1472.30859375,1504.30859375,11.25,19.125649767829817,7.875649767829817,-7.875649767829817,True,0.9704869712368677,diag,3,psd 10-45
x002,Running,1504.30859375,1536.30859375,11.25,28.424225086767876,17.174225086767876,-17.174225086767876,True,0.9238931445809672,diag,3,psd 10-45
x002,Running,1536.30859375,1568.30859375,15.0,34.88400128030596,19.88400128030596,-19.88400128030596,True,0.8296303722288035,diag,3,psd 10-45
x002,Running,1568.30859375,1600.30859375,39.375,37.777983077914655,1.597016922085345,1.597016922085345,True,0.8406475882248482,diag,3,psd 10-45
x002,Running,1600.30859375,1632.30859375,13.125,40.24786649549305,27.12286649549305,-27.12286649549305,True,0.8333707624041992,diag,3,psd 10-45
x002,Running,1632.30859375,1664.30859375,41.25,40.406516447583876,0.8434835524161244,0.8434835524161244,True,0.8103055882358913,diag,3,psd 10-45
x002,Running,1664.30859375,1696.30859375,43.125,40.06188645105366,3.0631135489463404,3.0631135489463404,True,0.7911310981910039,hr,3,psd 10-45
x002,Running,1696.30859375,1728.30859375,45.0,43.001276900664664,1.9987230993353364,1.9987230993353364,True,0.7917239045816834,hr,3,psd 10-45
x002,Running,1728.30859375,1760.30859375,45.0,41.57347226577318,3.4265277342268234,3.4265277342268234,True,0.7805791575379228,hr,3,psd 10-45
x002,Running,1760.30859375,1792.30859375,43.125,43.80039954368724,0.6753995436872415,-0.6753995436872415,True,0.7809960112941672,hr,3,psd 10-45
x002,Running,1792.30859375,1824.30859375,45.0,41.43964077782817,3.560359222171833,3.560359222171833,True,0.8445517985089176,diag,3,psd 10-45
x002,Running,1824.30859375,1856.30859375,35.625,35.50009802327965,0.12490197672035208,0.12490197672035208,True,0.957572129275508,diag,3,psd 10-45
x003,Rest,64.26171875,96.26171875,11.25,15.987836050459947,4.737836050459947,-4.737836050459947,True,0.9889099161474626,diag,3,psd 10-45
x003,Rest,96.26171875,128.26171875,13.125,11.902134112202342,1.2228658877976581,1.2228658877976581,True,0.9906974465507056,diag,3,psd 10-45
x003,Rest,128.26171875,160.26171875,13.125,12.720597529014684,0.4044024709853158,0.4044024709853158,True,0.9888280614892481,diag,3,psd 10-45
x003,Rest,160.26171875,192.26171875,15.0,15.337689475055445,0.3376894750554449,-0.3376894750554449,True,0.9877729835411077,diag,3,psd 10-45
x003,Rest,192.26171875,224.26171875,16.875,14.568557734622942,2.3064422653770578,2.3064422653770578,True,0.9877707307698681,diag,3,psd 10-45
x003,Rest,224.26171875,256.26171875,11.25,13.839652583968196,2.5896525839681956,-2.5896525839681956,True,0.9886114653761954,diag,3,psd 10-45
x003,Rest,256.26171875,288.26171875,13.125,15.250062346551722,2.125062346551722,-2.125062346551722,True,0.9872911801871256,diag,3,psd 10-45
x003,Rest,288.26171875,320.26171875,11.25,13.414281609717712,2.1642816097177118,-2.1642816097177118,True,0.9901332748681216,diag,3,psd 10-45
x003,Rest,320.26171875,352.26171875,11.25,11.18744032897678,0.06255967102321947,0.06255967102321947,True,0.988872384361713,diag,3,psd 10-45
x003,Rest,352.26171875,384.26171875,16.875,9.383061323930164,7.491938676069836,7.491938676069836,True,0.9841855859497692,diag,3,psd 10-45
x003,Rest,384.26171875,416.26171875,16.875,17.198694922143446,0.32369492214344575,-0.32369492214344575,True,0.9825092471372182,diag,3,psd 10-45
x003,Rest,416.26171875,448.26171875,15.0,17.783141741012194,2.7831417410121944,-2.7831417410121944,True,0.9866701839546089,diag,3,psd 10-45
x003,Walking,448.26171875,480.26171875,26.25,22.82359386230537,3.426406137694631,3.426406137694631,True,0.9166589914973742,diag,3,psd 10-45
x003,Walking,480.26171875,512.26171875,24.375,21.85588065931829,2.5191193406817085,2.5191193406817085,True,0.82802147396756,diag,3,psd 10-45
x003,Walking,512.26171875,544.26171875,24.375,22.177438993918603,2.197561006081397,2.197561006081397,True,0.7762718013726646,hr,3,psd 10-45
x003,Walking,544.26171875,576.26171875,24.375,24.34585433211342,0.02914566788658135,0.02914566788658135,True,0.7366772421846833,hr,3,psd 10-45
x003,Walking,576.26171875,608.26171875,24.375,24.156407178229635,0.21859282177036476,0.21859282177036476,True,0.7116992620764977,hr,3,psd 10-45
x003,Walking,608.26171875,640.26171875,22.5,23.754146035930262,1.2541460359302619,-1.2541460359302619,True,0.615115411285524,hr,3,psd 10-45
x003,Walking,640.26171875,672.26171875,13.125,20.03728174076579,6.912281740765788,-6.912281740765788,True,0.592054473078177,hr,3,psd 10-45
x003,Walking,672.26171875,704.26171875,22.5,20.093785022814753,2.406214977185247,2.406214977185247,True,0.5466372096837728,hr,3,psd 10-45
x003,Walking,704.26171875,736.26171875,24.375,22.737027205431907,1.6379727945680926,1.6379727945680926,False,0.49770622706934664,bad,3,psd 10-45
x003,Walking,736.26171875,768.26171875,20.625,23.602798877125885,2.9777988771258848,-2.9777988771258848,True,0.7755951299673307,hr,3,psd 10-45
x003,Walking,768.26171875,800.26171875,11.25,23.028232081039814,11.778232081039814,-11.778232081039814,True,0.9812134338264503,diag,3,psd 10-45
x003,Walking,800.26171875,832.26171875,18.75,15.767164220200367,2.9828357797996325,2.9828357797996325,True,0.9859335688909354,diag,3,psd 10-45
x003,Walking,832.26171875,864.26171875,11.25,13.689495121744159,2.4394951217441587,-2.4394951217441587,True,0.975961725943892,diag,3,psd 10-45
x003,Walking,864.26171875,896.26171875,16.875,13.339717228366963,3.535282771633037,3.535282771633037,True,0.9730296416185364,diag,3,psd 10-45
x003,Walking,896.26171875,928.26171875,22.5,19.610845677246814,2.8891543227531855,2.8891543227531855,True,0.9845192621531025,diag,3,psd 10-45
x003,Walking,928.26171875,960.26171875,13.125,18.139136009227585,5.014136009227585,-5.014136009227585,True,0.9886437238427441,diag,3,psd 10-45
x003,Walking,960.26171875,992.26171875,11.25,11.539286441834882,0.28928644183488217,-0.28928644183488217,True,0.9912682330622355,diag,3,psd 10-45
x003,Walking,992.26171875,1024.26171875,16.875,14.177414555667951,2.6975854443320486,2.6975854443320486,True,0.9904463862479027,diag,3,psd 10-45
x003,Walking,1024.26171875,1056.26171875,15.0,15.408312323129076,0.40831232312907595,-0.40831232312907595,True,0.986829363611078,diag,3,psd 10-45
x003,Walking,1056.26171875,1088.26171875,11.25,20.664408218024505,9.414408218024505,-9.414408218024505,True,0.9850809903952199,diag,3,psd 10-45
x003,Walking,1088.26171875,1120.26171875,11.25,27.875963005114198,16.625963005114198,-16.625963005114198,True,0.988621768018758,diag,3,psd 10-45
x003,Walking,1120.26171875,1152.26171875,11.25,26.47771237991278,15.22771237991278,-15.22771237991278,True,0.9882260912967364,diag,3,psd 10-45
x003,Walking,1152.26171875,1184.26171875,15.0,22.13615427578968,7.1361542757896785,-7.1361542757896785,True,0.9830314519485595,diag,3,psd 10-45
x003,Walking,1184.26171875,1216.26171875,18.75,12.449568286411573,6.300431713588427,6.300431713588427,True,0.9861507977625382,diag,3,psd 10-45
x003,Walking,1216.26171875,1248.26171875,16.875,11.311369054774751,5.563630945225249,5.563630945225249,True,0.9885356288061521,diag,3,psd 10-45
x003,Walking,1248.26171875,1280.26171875,11.25,13.151253217903331,1.9012532179033315,-1.9012532179033315,True,0.9886761088413106,diag,3,psd 10-45
x003,Walking,1280.26171875,1312.26171875,16.875,11.345705812548143,5.529294187451857,5.529294187451857,True,0.9892604914129125,diag,3,psd 10-45
x003,Walking,1312.26171875,1344.26171875,11.25,14.959747365639991,3.7097473656399913,-3.7097473656399913,True,0.9896679454117101,diag,3,psd 10-45
x003,2-Back,1344.26171875,1376.26171875,18.75,13.335517107349752,5.414482892650248,5.414482892650248,True,0.9889724826169655,diag,3,psd 10-45
x003,2-Back,1376.26171875,1408.26171875,15.0,28.66841705777572,13.66841705777572,-13.66841705777572,True,0.9852865621338389,diag,3,psd 10-45
x003,2-Back,1408.26171875,1440.26171875,30.0,29.812599921500667,0.1874000784993335,0.1874000784993335,True,0.990259118739681,diag,3,psd 10-45
x003,2-Back,1440.26171875,1472.26171875,18.75,29.90639566330104,11.15639566330104,-11.15639566330104,True,0.9885631789367579,diag,3,psd 10-45
x003,2-Back,1472.26171875,1504.26171875,18.75,27.625037511983653,8.875037511983653,-8.875037511983653,True,0.9920018285341351,diag,3,psd 10-45
x003,2-Back,1504.26171875,1536.26171875,22.5,29.783267649753697,7.283267649753697,-7.283267649753697,True,0.9866466844927197,diag,3,psd 10-45
x003,2-Back,1536.26171875,1568.26171875,30.0,29.437428257174798,0.5625717428252024,0.5625717428252024,True,0.976382903714274,diag,3,psd 10-45
x003,2-Back,1568.26171875,1600.26171875,30.0,29.496952921936405,0.5030470780635952,0.5030470780635952,True,0.9903207395167479,diag,3,psd 10-45
x003,2-Back,1600.26171875,1632.26171875,30.0,28.466786713439127,1.5332132865608727,1.5332132865608727,True,0.9890769815259409,diag,3,psd 10-45
x003,2-Back,1632.26171875,1664.26171875,15.0,19.974654781242805,4.974654781242805,-4.974654781242805,True,0.9610050379560029,diag,3,psd 10-45
